tw_start,tw_end,quantity,service_time,id,node
885,994,10.0,90.0,1,1
802,893,30.0,90.0,2,2
25,186,10.0,90.0,3,3
699,810,10.0,90.0,4,4
15,120,10.0,90.0,5,5
580,743,20.0,90.0,6,6
142,253,20.0,90.0,7,7
220,359,20.0,90.0,8,8
499,640,10.0,90.0,9,9
331,436,10.0,90.0,10,10
420,533,10.0,90.0,11,11
617,756,20.0,90.0,12,12
30,155,30.0,90.0,13,13
541,646,10.0,90.0,14,14
362,451,40.0,90.0,15,15
448,555,40.0,90.0,16,16
75,172,20.0,90.0,17,17
142,291,20.0,90.0,18,18
244,379,10.0,90.0,19,19
10,137,10.0,90.0,20,20
888,991,20.0,90.0,21,21
776,919,20.0,90.0,22,22
709,800,10.0,90.0,23,23
25,184,10.0,90.0,24,24
142,251,40.0,90.0,25,25
