tw_start,tw_end,quantity,service_time,id,node
912,967,10.0,90.0,1,1
825,870,30.0,90.0,2,2
65,146,10.0,90.0,3,3
727,782,10.0,90.0,4,4
15,67,10.0,90.0,5,5
621,702,20.0,90.0,6,6
170,225,20.0,90.0,7,7
255,324,20.0,90.0,8,8
534,605,10.0,90.0,9,9
357,410,10.0,90.0,10,10
448,505,10.0,90.0,11,11
652,721,20.0,90.0,12,12
30,92,30.0,90.0,13,13
567,620,10.0,90.0,14,14
384,429,40.0,90.0,15,15
475,528,40.0,90.0,16,16
99,148,20.0,90.0,17,17
179,254,20.0,90.0,18,18
278,345,10.0,90.0,19,19
10,73,10.0,90.0,20,20
914,965,20.0,90.0,21,21
812,883,20.0,90.0,22,22
732,777,10.0,90.0,23,23
65,144,10.0,90.0,24,24
169,224,40.0,90.0,25,25
622,701,10.0,90.0,26,26
261,316,10.0,90.0,27,27
546,593,20.0,90.0,28,28
358,405,10.0,90.0,29,29
449,504,10.0,90.0,30,30
200,237,20.0,90.0,31,31
31,100,30.0,90.0,32,32
87,158,40.0,90.0,33,33
751,816,20.0,90.0,34,34
283,344,10.0,90.0,35,35
665,716,10.0,90.0,36,36
383,434,20.0,90.0,37,37
479,522,30.0,90.0,38,38
567,624,20.0,90.0,39,39
264,321,10.0,90.0,40,40
166,235,10.0,90.0,41,41
68,149,20.0,90.0,42,42
16,80,10.0,90.0,43,43
359,412,10.0,90.0,44,44
541,600,10.0,90.0,45,45
448,509,30.0,90.0,46,46
1054,1127,10.0,90.0,47,47
632,693,10.0,90.0,48,48
1001,1066,10.0,90.0,49,49
815,880,10.0,90.0,50,50
