tw_start,tw_end,quantity,service_time,id,node
885,994,10.0,90.0,1,1
802,893,30.0,90.0,2,2
25,186,10.0,90.0,3,3
699,810,10.0,90.0,4,4
15,120,10.0,90.0,5,5
580,743,20.0,90.0,6,6
142,253,20.0,90.0,7,7
220,359,20.0,90.0,8,8
499,640,10.0,90.0,9,9
331,436,10.0,90.0,10,10
420,533,10.0,90.0,11,11
617,756,20.0,90.0,12,12
30,155,30.0,90.0,13,13
541,646,10.0,90.0,14,14
362,451,40.0,90.0,15,15
448,555,40.0,90.0,16,16
75,172,20.0,90.0,17,17
142,291,20.0,90.0,18,18
244,379,10.0,90.0,19,19
10,137,10.0,90.0,20,20
888,991,20.0,90.0,21,21
776,919,20.0,90.0,22,22
709,800,10.0,90.0,23,23
25,184,10.0,90.0,24,24
142,251,40.0,90.0,25,25
582,741,10.0,90.0,26,26
234,343,10.0,90.0,27,27
523,616,20.0,90.0,28,28
335,428,10.0,90.0,29,29
422,531,10.0,90.0,30,30
181,256,20.0,90.0,31,31
31,170,30.0,90.0,32,32
52,193,40.0,90.0,33,33
719,848,20.0,90.0,34,34
252,375,10.0,90.0,35,35
639,742,10.0,90.0,36,36
357,460,20.0,90.0,37,37
457,544,30.0,90.0,38,38
538,653,20.0,90.0,39,39
236,349,10.0,90.0,40,40
132,269,10.0,90.0,41,41
27,190,20.0,90.0,42,42
16,144,10.0,90.0,43,43
332,439,10.0,90.0,44,44
512,629,10.0,90.0,45,45
417,540,30.0,90.0,46,46
982,1127,10.0,90.0,47,47
601,724,10.0,90.0,48,48
969,1098,10.0,90.0,49,49
783,912,10.0,90.0,50,50
