tw_start,tw_end,quantity,service_time,id,node
0,1127,10.0,90.0,1,1
0,1125,30.0,90.0,2,2
0,1129,10.0,90.0,3,3
727,782,10.0,90.0,4,4
0,1130,10.0,90.0,5,5
0,1127,20.0,90.0,6,6
0,1130,20.0,90.0,7,7
255,324,20.0,90.0,8,8
534,605,10.0,90.0,9,9
0,1129,10.0,90.0,10,10
448,505,10.0,90.0,11,11
0,1107,20.0,90.0,12,12
30,92,30.0,90.0,13,13
0,1106,10.0,90.0,14,14
384,429,40.0,90.0,15,15
0,1105,40.0,90.0,16,16
0,1112,20.0,90.0,17,17
0,1110,20.0,90.0,18,18
0,1106,10.0,90.0,19,19
0,1136,10.0,90.0,20,20
0,1135,20.0,90.0,21,21
0,1133,20.0,90.0,22,22
732,777,10.0,90.0,23,23
0,1131,10.0,90.0,24,24
169,224,40.0,90.0,25,25
0,1130,10.0,90.0,26,26
0,1128,10.0,90.0,27,27
0,1128,20.0,90.0,28,28
0,1126,10.0,90.0,29,29
0,1125,10.0,90.0,30,30
0,1112,20.0,90.0,31,31
0,1114,30.0,90.0,32,32
0,1112,40.0,90.0,33,33
0,1113,20.0,90.0,34,34
0,1107,10.0,90.0,35,35
0,1110,10.0,90.0,36,36
0,1106,20.0,90.0,37,37
479,522,30.0,90.0,38,38
0,1105,20.0,90.0,39,39
0,1125,10.0,90.0,40,40
0,1127,10.0,90.0,41,41
0,1126,20.0,90.0,42,42
0,1129,10.0,90.0,43,43
359,412,10.0,90.0,44,44
0,1123,10.0,90.0,45,45
0,1125,30.0,90.0,46,46
0,1127,10.0,90.0,47,47
0,1122,10.0,90.0,48,48
0,1126,10.0,90.0,49,49
0,1123,10.0,90.0,50,50
